21:20,52.2,1133.8,1034.4,1255.0
21:30,53.3,1122.4,1033.8,1246.9
21:40,52.2,1131.3,1036.3,1241.9
21:50,52.0,1131.3,1036.4,1230.2
22,53.8,1131.9,1029.7,1215.8
22:10,50.7,1150.8,1048.6,1211.8
22:20,49.9,1157.5,1028.2,1200.5
22:30,50.1,1140.2,1034.4,1188.0
22:40,49.9,1110.9,1026.9,1183.1
22:50,48.4,1121.3,1023.5,1157.8
23,47.7,1100.3,1016.3,1150.3
23:10,47.5,1130.9,1013.3,1125.8
23:20,47.6,1107.8,996.1,1119.0
23:30,46.7,1099.6,1005.4,1106.9
23:40,47.1,1086.6,1000.1,1083.8
23:50,44.8,1098.9,989.0,1076.1
